Timestamp	workload	stress	Marker
3.4819e+03	1.9831e+00	1.0938e+00	0.0000e+00	0.0000e+00
3.4820e+03	1.9820e+00	1.0946e+00	0.0000e+00	0.0000e+00
3.4821e+03	1.9807e+00	1.0953e+00	0.0000e+00	0.0000e+00
3.4822e+03	1.9798e+00	1.0962e+00	0.0000e+00	0.0000e+00
3.4823e+03	1.9784e+00	1.0971e+00	0.0000e+00	0.0000e+00
3.4824e+03	1.9773e+00	1.0981e+00	0.0000e+00	0.0000e+00
3.4825e+03	1.9763e+00	1.0988e+00	0.0000e+00	0.0000e+00
3.4826e+03	1.9748e+00	1.0995e+00	0.0000e+00	0.0000e+00
3.4827e+03	1.9730e+00	1.1002e+00	0.0000e+00	0.0000e+00
3.4828e+03	1.9715e+00	1.1009e+00	0.0000e+00	0.0000e+00
3.4829e+03	1.9705e+00	1.1016e+00	0.0000e+00	0.0000e+00
3.4830e+03	1.9693e+00	1.1023e+00	0.0000e+00	0.0000e+00
3.4831e+03	1.9682e+00	1.1031e+00	0.0000e+00	0.0000e+00
3.4832e+03	1.9670e+00	1.1039e+00	0.0000e+00	0.0000e+00
3.4833e+03	1.9656e+00	1.1048e+00	0.0000e+00	0.0000e+00
3.4834e+03	1.9642e+00	1.1056e+00	0.0000e+00	0.0000e+00
3.4835e+03	1.9633e+00	1.1062e+00	0.0000e+00	0.0000e+00
3.4836e+03	1.9623e+00	1.1066e+00	0.0000e+00	0.0000e+00
3.4837e+03	1.9620e+00	1.1070e+00	0.0000e+00	0.0000e+00
3.4838e+03	1.9613e+00	1.1075e+00	0.0000e+00	0.0000e+00
3.4839e+03	1.9605e+00	1.1079e+00	0.0000e+00	0.0000e+00
3.4840e+03	1.9597e+00	1.1081e+00	0.0000e+00	0.0000e+00
3.4841e+03	1.9581e+00	1.1084e+00	0.0000e+00	0.0000e+00
3.4842e+03	1.9571e+00	1.1087e+00	0.0000e+00	0.0000e+00
3.4843e+03	1.9556e+00	1.1092e+00	0.0000e+00	0.0000e+00
3.4844e+03	1.9542e+00	1.1095e+00	0.0000e+00	0.0000e+00
3.4845e+03	1.9525e+00	1.1098e+00	0.0000e+00	0.0000e+00
3.4846e+03	1.9526e+00	1.1106e+00	0.0000e+00	0.0000e+00
3.4847e+03	1.9511e+00	1.1107e+00	0.0000e+00	0.0000e+00
3.4848e+03	1.9509e+00	1.1115e+00	0.0000e+00	0.0000e+00
3.4849e+03	1.9495e+00	1.1120e+00	0.0000e+00	0.0000e+00
3.4850e+03	1.9483e+00	1.1124e+00	0.0000e+00	0.0000e+00
3.4851e+03	1.9470e+00	1.1128e+00	0.0000e+00	0.0000e+00
3.4852e+03	1.9470e+00	1.1136e+00	0.0000e+00	0.0000e+00
3.4853e+03	1.9452e+00	1.1139e+00	0.0000e+00	0.0000e+00
3.4854e+03	1.9433e+00	1.1144e+00	0.0000e+00	0.0000e+00
3.4855e+03	1.9415e+00	1.1150e+00	0.0000e+00	0.0000e+00
3.4856e+03	1.9400e+00	1.1155e+00	0.0000e+00	0.0000e+00
3.4857e+03	1.9382e+00	1.1160e+00	0.0000e+00	0.0000e+00
