Timestamp	workload	arousal	Marker
607584.648	2.313	2.926	0.000
607584.852	2.321	2.940	0.000
607585.070	2.330	2.955	0.000
607585.291	2.337	2.969	0.000
607585.527	2.344	2.983	0.000
607585.750	2.350	2.997	0.000
607585.984	2.356	3.012	0.000
607586.182	2.361	3.026	0.000
607586.187	2.366	3.026	0.000
607586.402	2.370	3.040	0.000
607586.640	2.373	3.054	0.000
607586.876	2.374	3.068	0.000
607587.080	2.373	3.082	0.000
607587.317	2.374	3.095	0.000
607587.537	2.369	3.109	0.000
607587.771	2.362	3.122	0.000
607588.029	2.359	3.135	0.000
607588.040	2.350	3.135	0.000
607588.216	2.342	3.147	0.000
607588.448	2.331	3.159	0.000
607588.655	2.320	3.171	0.000
607588.906	2.309	3.182	0.000
607589.126	2.301	3.193	0.000
607589.361	2.301	3.204	0.000
607589.580	2.295	3.214	0.000
607589.586	2.291	3.214	0.000
607589.805	2.286	3.224	0.000
607590.040	2.286	3.233	0.000
607590.258	2.282	3.242	0.000
607590.499	2.281	3.250	0.000
607590.710	2.281	3.258	0.000
607590.931	2.282	3.265	0.000
607591.152	2.285	3.272	0.000
607591.370	2.285	3.278	0.000
607591.376	2.289	3.283	0.000
607591.623	2.293	3.289	0.000
607591.841	2.299	3.293	0.000
607592.044	2.305	3.297	0.000
607592.274	2.312	3.301	0.000
607592.505	2.318	3.303	0.000
607592.721	2.326	3.306	0.000
607592.958	2.335	3.308	0.000
607593.177	2.345	3.309	0.000
607593.400	2.358	3.309	0.000
607593.404	2.356	3.309	0.000
607593.617	2.365	3.310	0.000
607593.836	2.374	3.309	0.000
607594.062	2.384	3.308	0.000
607594.281	2.392	3.307	0.000
607594.520	2.397	3.305	0.000
607594.730	2.396	3.302	0.000
607594.968	2.392	3.300	0.000
607595.186	2.383	3.296	0.000
607595.190	2.373	3.296	0.000
607595.405	2.363	3.292	0.000
607595.641	2.353	3.288	0.000
607595.847	2.343	3.283	0.000
607596.086	2.334	3.278	0.000
607596.305	2.325	3.272	0.000
607596.531	2.320	3.266	0.000
607596.746	2.318	3.260	0.000
607596.983	2.315	3.253	0.000
607596.988	2.311	3.253	0.000
607597.202	2.307	3.246	0.000
607597.442	2.305	3.238	0.000
607597.642	2.303	3.230	0.000
607597.877	2.301	3.222	0.000
607598.116	2.298	3.214	0.000
607598.355	2.294	3.205	0.000
607598.591	2.289	3.196	0.000
607598.597	2.284	3.196	0.000
607598.817	2.279	3.187	0.000
607599.013	2.272	3.177	0.000
607599.248	2.269	3.167	0.000
607599.468	2.265	3.157	0.000
607599.689	2.253	3.147	0.000
607599.922	2.245	3.137	0.000
607600.141	2.236	3.127	0.000
607600.377	2.228	3.116	0.000
607600.595	2.220	3.105	0.000
607600.603	2.213	3.094	0.000
607600.821	2.207	3.083	0.000
607601.036	2.199	3.072	0.000
607601.255	2.193	3.061	0.000
607601.477	2.188	3.050	0.000
607601.718	2.184	3.039	0.000
607601.935	2.179	3.028	0.000
607602.169	2.176	3.016	0.000
607602.390	2.172	3.005	0.000
607602.394	2.171	3.005	0.000
607602.615	2.169	2.994	0.000
607602.834	2.166	2.983	0.000
607603.067	2.168	2.972	0.000
607603.268	2.170	2.960	0.000
607603.504	2.173	2.949	0.000
607603.726	2.175	2.938	0.000
607603.956	2.176	2.927	0.000
607604.177	2.178	2.916	0.000
607604.183	2.179	2.906	0.000
607604.397	2.181	2.895	0.000
607604.619	2.183	2.884	0.000
607604.852	2.184	2.874	0.000
607605.084	2.184	2.863	0.000
607605.292	2.184	2.853	0.000
607605.529	2.184	2.843	0.000
607605.734	2.184	2.833	0.000
607605.954	2.185	2.823	0.000
607606.206	2.185	2.813	0.000
607606.213	2.184	2.804	0.000
607606.409	2.184	2.794	0.000
607606.630	2.184	2.785	0.000
607606.874	2.184	2.776	0.000
607607.094	2.184	2.767	0.000
607607.340	2.185	2.759	0.000
607607.542	2.186	2.750	0.000
607607.793	2.187	2.742	0.000
607607.798	2.189	2.742	0.000
607608.013	2.192	2.734	0.000
607608.249	2.198	2.726	0.000
607608.451	2.202	2.718	0.000
607608.690	2.208	2.710	0.000
607608.921	2.214	2.703	0.000
607609.140	2.221	2.696	0.000
607609.376	2.221	2.689	0.000
607609.618	2.221	2.682	0.000
607609.625	2.221	2.682	0.000
607609.868	2.221	2.675	0.000
607610.069	2.221	2.669	0.000
607610.288	2.221	2.662	0.000
607610.507	2.221	2.656	0.000
607610.759	2.223	2.650	0.000
607611.011	2.224	2.644	0.000
607611.015	2.225	2.644	0.000
607611.214	2.226	2.639	0.000
607611.452	2.227	2.633	0.000
607611.672	2.230	2.628	0.000
607611.891	2.230	2.623	0.000
607612.113	2.231	2.618	0.000
607612.341	2.231	2.613	0.000
607612.552	2.234	2.608	0.000
607612.785	2.225	2.604	0.000
607612.789	2.216	2.604	0.000
607613.018	2.210	2.599	0.000
607613.227	2.202	2.595	0.000
607613.488	2.193	2.591	0.000
607613.727	2.182	2.587	0.000
607613.945	2.175	2.583	0.000
607614.167	2.166	2.579	0.000
