Timestamp	GSR	PPG	Marker	MarkerTimestamp
2337284.175	1.888	2800.000	0.000	0.000
2337284.191	1.881	2800.733	0.000	0.000
2337284.207	1.873	2800.000	0.000	0.000
2337284.222	1.881	2800.733	0.000	0.000
2337284.238	1.887	2800.000	0.000	0.000
2337284.254	1.885	2694.506	0.000	0.000
2337284.269	1.875	2457.143	0.000	0.000
2337284.274	1.876	2210.256	0.000	0.000
2337284.289	1.884	2000.000	0.000	0.000
2337284.305	1.890	1819.780	0.000	0.000
2337284.320	1.879	1657.143	0.000	0.000
2337284.336	1.873	1511.355	0.000	0.000
2337284.352	1.879	1390.476	0.000	0.000
2337284.367	1.887	1308.425	0.000	0.000
2337284.383	1.884	1265.934	0.000	0.000
2337284.398	1.876	1260.073	0.000	0.000
2337284.414	1.873	1283.516	0.000	0.000
2337284.430	1.882	1318.681	0.000	0.000
2337284.445	1.887	1337.729	0.000	0.000
2337284.461	1.881	1339.194	0.000	0.000
2337284.477	1.873	1320.146	0.000	0.000
2337284.492	1.879	1279.854	0.000	0.000
2337284.508	1.885	1213.919	0.000	0.000
2337284.536	1.887	1147.985	0.000	0.000
2337284.552	1.878	1076.923	0.000	0.000
2337284.567	1.873	1008.791	0.000	0.000
2337284.583	1.881	949.451	0.000	0.000
2337284.598	1.888	912.820	0.000	0.000
2337284.614	1.882	890.110	0.000	0.000
2337284.630	1.875	884.249	0.000	0.000
2337284.645	1.875	884.982	0.000	0.000
2337284.656	1.885	891.575	0.000	0.000
2337284.672	1.887	909.890	0.000	0.000
2337284.687	1.879	931.136	0.000	0.000
2337284.703	1.872	945.055	0.000	0.000
2337284.719	1.879	957.509	0.000	0.000
2337284.734	1.885	971.429	0.000	0.000
2337284.750	1.882	983.150	0.000	0.000
2337284.765	1.875	980.220	0.000	0.000
2337284.775	1.873	966.300	0.000	0.000
2337284.790	1.882	956.777	0.000	0.000
2337284.806	1.887	947.253	0.000	0.000
2337284.822	1.878	936.996	0.000	0.000
2337284.837	1.872	934.799	0.000	0.000
2337284.853	1.878	926.007	0.000	0.000
2337284.869	1.885	916.484	0.000	0.000
2337284.884	1.882	908.425	0.000	0.000
2337284.904	1.875	891.575	0.000	0.000
2337284.919	1.872	883.516	0.000	0.000
2337284.935	1.881	890.110	0.000	0.000
2337284.950	1.887	895.238	0.000	0.000
2337284.966	1.879	895.971	0.000	0.000
2337284.982	1.872	885.714	0.000	0.000
2337284.997	1.876	866.667	0.000	0.000
2337285.013	1.884	846.886	0.000	0.000
2337285.035	1.884	838.095	0.000	0.000
2337285.050	1.875	865.934	0.000	0.000
2337285.066	1.872	979.487	0.000	0.000
2337285.082	1.879	1224.908	0.000	0.000
2337285.097	1.885	1607.326	0.000	0.000
2337285.113	1.879	2090.110	0.000	0.000
2337285.129	1.872	2589.011	0.000	0.000
2337285.144	1.875	2800.733	0.000	0.000
2337285.147	1.882	2800.733	0.000	0.000
2337285.163	1.884	2800.000	0.000	0.000
2337285.179	1.876	2800.733	0.000	0.000
2337285.194	1.870	2800.000	0.000	0.000
2337285.210	1.879	2797.802	0.000	0.000
2337285.225	1.885	2619.780	0.000	0.000
2337285.241	1.879	2376.557	0.000	0.000
2337285.257	1.872	2145.788	0.000	0.000
2337285.274	1.872	1952.381	0.000	0.000
2337285.289	1.881	1784.615	0.000	0.000
2337285.305	1.884	1638.095	0.000	0.000
2337285.320	1.875	1508.425	0.000	0.000
2337285.336	1.870	1401.465	0.000	0.000
2337285.352	1.876	1317.949	0.000	0.000
2337285.367	1.884	1277.656	0.000	0.000
2337285.383	1.879	1276.190	0.000	0.000
2337285.399	1.872	1298.168	0.000	0.000
2337285.414	1.870	1326.740	0.000	0.000
2337285.430	1.879	1341.392	0.000	0.000
2337285.445	1.884	1336.264	0.000	0.000
2337285.461	1.876	1309.157	0.000	0.000
2337285.477	1.869	1254.212	0.000	0.000
2337285.492	1.875	1185.348	0.000	0.000
2337285.508	1.881	1115.751	0.000	0.000
2337285.529	1.881	1057.143	0.000	0.000
2337285.544	1.873	1011.722	0.000	0.000
2337285.560	1.869	967.766	0.000	0.000
2337285.575	1.876	937.729	0.000	0.000
2337285.591	1.884	925.275	0.000	0.000
2337285.607	1.875	923.077	0.000	0.000
2337285.622	1.870	928.205	0.000	0.000
2337285.638	1.872	935.531	0.000	0.000
2337285.655	1.881	938.462	0.000	0.000
2337285.670	1.881	942.125	0.000	0.000
2337285.686	1.873	950.916	0.000	0.000
2337285.702	1.867	955.311	0.000	0.000
2337285.717	1.876	961.172	0.000	0.000
2337285.733	1.882	964.103	0.000	0.000
2337285.749	1.876	967.033	0.000	0.000
2337285.764	1.869	960.440	0.000	0.000
2337285.770	1.870	947.253	0.000	0.000
2337285.785	1.879	936.264	0.000	0.000
2337285.801	1.882	926.740	0.000	0.000
2337285.817	1.875	917.216	0.000	0.000
2337285.832	1.867	908.425	0.000	0.000
2337285.848	1.875	907.692	0.000	0.000
2337285.864	1.882	909.890	0.000	0.000
2337285.879	1.879	909.158	0.000	0.000
2337285.906	1.870	906.227	0.000	0.000
2337285.922	1.869	901.099	0.000	0.000
2337285.937	1.878	893.040	0.000	0.000
2337285.953	1.882	884.982	0.000	0.000
2337285.969	1.876	874.725	0.000	0.000
2337285.984	1.869	872.527	0.000	0.000
2337286.000	1.875	881.319	0.000	0.000
2337286.015	1.881	915.751	0.000	0.000
2337286.032	1.881	1011.722	0.000	0.000
2337286.048	1.872	1224.176	0.000	0.000
2337286.064	1.870	1583.883	0.000	0.000
2337286.079	1.878	2054.212	0.000	0.000
2337286.095	1.884	2551.648	0.000	0.000
2337286.110	1.876	2800.000	0.000	0.000
2337286.126	1.870	2800.733	0.000	0.000
2337286.142	1.873	2800.000	0.000	0.000
2337286.157	1.882	2800.000	0.000	0.000
2337286.173	1.884	2800.000	0.000	0.000
2337286.189	1.875	2800.000	0.000	0.000
2337286.204	1.870	2652.015	0.000	0.000
2337286.220	1.879	2402.930	0.000	0.000
2337286.235	1.887	2169.231	0.000	0.000
2337286.251	1.879	1969.231	0.000	0.000
2337286.267	1.872	1803.663	0.000	0.000
2337286.273	1.875	1664.469	0.000	0.000
2337286.289	1.882	1528.938	0.000	0.000
2337286.305	1.887	1408.059	0.000	0.000
2337286.320	1.878	1326.740	0.000	0.000
2337286.336	1.872	1291.575	0.000	0.000
2337286.352	1.881	1289.377	0.000	0.000
2337286.367	1.887	1303.297	0.000	0.000
2337286.383	1.884	1328.938	0.000	0.000
2337286.396	1.876	1347.253	0.000	0.000
2337286.412	1.876	1353.114	0.000	0.000
2337286.427	1.885	1342.857	0.000	0.000
2337286.443	1.890	1305.495	0.000	0.000
2337286.459	1.882	1243.956	0.000	0.000
2337286.474	1.876	1165.568	0.000	0.000
2337286.490	1.882	1087.912	0.000	0.000
2337286.505	1.890	1022.711	0.000	0.000
2337286.522	1.888	978.755	0.000	0.000
2337286.538	1.881	950.183	0.000	0.000
2337286.554	1.879	939.927	0.000	0.000
2337286.569	1.887	942.857	0.000	0.000
2337286.585	1.894	954.579	0.000	0.000
2337286.600	1.887	969.231	0.000	0.000
2337286.616	1.881	985.348	0.000	0.000
2337286.632	1.885	1005.861	0.000	0.000
2337286.660	1.893	1010.989	0.000	0.000
2337286.675	1.894	1002.930	0.000	0.000
2337286.691	1.885	985.348	0.000	0.000
2337286.707	1.882	965.568	0.000	0.000
2337286.722	1.891	950.183	0.000	0.000
2337286.738	1.897	934.066	0.000	0.000
2337286.753	1.891	917.216	0.000	0.000
2337286.769	1.885	906.227	0.000	0.000
2337286.777	1.888	909.890	0.000	0.000
2337286.793	1.897	921.612	0.000	0.000
2337286.808	1.899	934.799	0.000	0.000
2337286.824	1.891	943.590	0.000	0.000
2337286.840	1.885	939.927	0.000	0.000
2337286.855	1.893	933.333	0.000	0.000
2337286.871	1.902	922.344	0.000	0.000
2337286.887	1.897	908.425	0.000	0.000
2337286.900	1.890	892.308	0.000	0.000
2337286.915	1.890	879.853	0.000	0.000
2337286.931	1.899	877.656	0.000	0.000
2337286.947	1.903	882.051	0.000	0.000
2337286.962	1.896	902.564	0.000	0.000
2337286.978	1.890	975.824	0.000	0.000
2337286.994	1.896	1155.311	0.000	0.000
2337287.009	1.903	1480.586	0.000	0.000
2337287.024	1.902	1920.879	0.000	0.000
2337287.039	1.894	2421.978	0.000	0.000
2337287.055	1.893	2799.267	0.000	0.000
2337287.070	1.902	2800.000	0.000	0.000
2337287.086	1.909	2799.267	0.000	0.000
2337287.102	1.900	2800.000	0.000	0.000
2337287.117	1.894	2799.267	0.000	0.000
2337287.133	1.899	2800.000	0.000	0.000
2337287.152	1.908	2799.267	0.000	0.000
2337287.168	1.906	2717.949	0.000	0.000
2337287.184	1.900	2493.773	0.000	0.000
2337287.199	1.894	2255.678	0.000	0.000
2337287.215	1.905	2038.095	0.000	0.000
2337287.230	1.909	1846.154	0.000	0.000
2337287.246	1.905	1682.051	0.000	0.000
2337287.262	1.897	1550.183	0.000	0.000
2337287.282	1.900	1452.747	0.000	0.000
2337287.298	1.908	1397.802	0.000	0.000
2337287.314	1.912	1390.476	0.000	0.000
2337287.329	1.902	1410.256	0.000	0.000
2337287.345	1.897	1435.897	0.000	0.000
2337287.360	1.906	1455.678	0.000	0.000
2337287.376	1.912	1453.480	0.000	0.000
2337287.392	1.908	1424.176	0.000	0.000
2337287.396	1.900	1373.626	0.000	0.000
2337287.412	1.900	1306.227	0.000	0.000
2337287.427	1.909	1224.908	0.000	0.000
2337287.443	1.914	1147.253	0.000	0.000
2337287.458	1.905	1085.714	0.000	0.000
2337287.474	1.899	1046.154	0.000	0.000
2337287.490	1.906	1031.502	0.000	0.000
2337287.505	1.914	1030.037	0.000	0.000
2337287.529	1.911	1032.234	0.000	0.000
2337287.544	1.903	1038.095	0.000	0.000
2337287.560	1.902	1046.886	0.000	0.000
2337287.575	1.909	1049.084	0.000	0.000
2337287.591	1.915	1040.293	0.000	0.000
2337287.607	1.908	1021.245	0.000	0.000
2337287.622	1.900	1008.059	0.000	0.000
2337287.638	1.906	1005.128	0.000	0.000
2337287.647	1.914	1010.256	0.000	0.000
2337287.663	1.914	1021.245	0.000	0.000
2337287.679	1.905	1026.374	0.000	0.000
2337287.694	1.902	1019.048	0.000	0.000
2337287.710	1.911	1005.128	0.000	0.000
2337287.725	1.917	983.150	0.000	0.000
2337287.741	1.909	962.637	0.000	0.000
2337287.757	1.903	952.381	0.000	0.000
2337287.776	1.905	943.590	0.000	0.000
2337287.792	1.914	938.462	0.000	0.000
2337287.807	1.915	928.205	0.000	0.000
2337287.823	1.908	913.553	0.000	0.000
2337287.839	1.902	904.762	0.000	0.000
2337287.854	1.911	899.634	0.000	0.000
2337287.870	1.915	900.366	0.000	0.000
2337287.885	1.912	905.495	0.000	0.000
2337287.907	1.903	926.740	0.000	0.000
2337287.923	1.905	1009.524	0.000	0.000
2337287.939	1.912	1208.791	0.000	0.000
2337287.954	1.917	1558.242	0.000	0.000
2337287.970	1.908	2029.304	0.000	0.000
2337287.985	1.902	2546.520	0.000	0.000
2337288.001	1.909	2800.000	0.000	0.000
2337288.017	1.917	2800.733	0.000	0.000
2337288.030	1.912	2799.267	0.000	0.000
2337288.045	1.906	2800.733	0.000	0.000
2337288.061	1.905	2800.000	0.000	0.000
2337288.077	1.912	2800.733	0.000	0.000
2337288.092	1.918	2800.000	0.000	0.000
